Galaxy,m,rc,mu,B,chi2_pt,is_boundary,dAIC,dAIC_permodel,rmin,ef,N
UGC00128,0.0012499999999999996,,0.0,17980.59589982083,8.995890888723327,True,185.18754961512377,202.39924024937272,2.0,6.0,21
UGC00191,0.0012499999999999996,,0.0,6811.146568478312,1.5996042435126236,True,4.6437749991691355,8.337544888422595,3.0,6.0,3
UGC00634,0.08539961369724137,11.70965484159213,4.593128572712572,1094.3630673328114,18.162378819149055,False,73.74787281506462,76.86138352923372,0.0,6.0,4
UGC00731,0.0012499999999999996,,0.0,4018.9823286681994,1.0546677922003977,True,8.07617557451099,8.07617557451099,3.0,3.0,9
UGC00891,0.11060507192089296,9.041176707657861,0.0,3973.779187769215,1.801317175913146,False,5.387324754267489,9.49632751721132,3.0,6.0,3
UGC01230,0.009478579292193035,105.50104284337664,0.0,10698.000562239862,0.3193026923716207,False,1.8959386815317885,1.8959386815317885,3.0,6.0,9
UGC01281,0.09308841126368937,10.742475743487805,0.0,3118.8506041546143,0.5214151566563431,False,3.029154593509059,3.029154593509059,3.0,4.0,6
UGC02023,0.5,2.0,1.8441114132482646,0.0,1.26120684381923,False,0.5892537677416669,5.709726586237906,0.0,6.0,5
UGC02259,0.11547684200792004,8.659744955022363,4.780421812510315,0.0,1.8911331448396993,False,10.719893324316025,17.156942856868838,3.0,6.0,6
UGC02455,0.20223346697975184,4.944779985896808,0.2538383505742228,279.307957527523,2.4096095532285537,False,-0.3179057096406126,6.262266700169093,2.0,6.0,5
UGC02487,0.006430793187387656,155.50181305180865,0.0,151335.57807429793,1.9596723817238242,False,10.389481895178392,10.389481895178392,0.0,6.0,17
UGC02885,0.0012499999999999996,,0.0,95577.38399835353,6.5933152183956,True,97.94119203097299,127.04239296621697,0.0,6.0,19
UGC02916,0.004555181590069486,219.53021635406324,0.0,45185.58233825726,1.0776599211586853,False,25.182016697789066,33.88326069233631,3.0,6.0,35
UGC02953,0.0012499999999999996,,0.24490673091237888,66279.06175696991,3.1750066712738145,True,178.94847745453603,178.94847745453603,3.0,6.0,81
UGC03205,0.0012499999999999996,,0.2598585129861848,39345.2034088815,0.6819903859798682,True,-24.02181852183952,-24.02181852183952,2.0,6.0,43
UGC03546,0.009896077859494246,101.05013462890302,0.0,43526.79295026318,0.7393315144448971,False,3.716087130633227,3.716087130633227,3.0,3.0,17
UGC03580,0.0012499999999999996,,0.0,15766.632987819094,9.236648163794516,True,188.38743385650253,199.33014149990942,3.0,6.0,21
UGC04278,0.5,2.0,4.242113716802989,0.0,4.96161486440461,False,72.84519607379082,153.83869719361326,0.0,6.0,25
UGC04305,0.24028820404664064,4.161669125488562,0.009665554531422524,627.6997809043103,0.21003982811157168,False,1.9363841008929654,1.9363841008929654,3.0,3.0,11
UGC04325,0.0035171149148652795,284.32394852196757,0.0,7669.680506610465,0.04576823890646896,False,-0.3601767206272797,-0.3601767206272797,3.0,3.0,4
UGC04483,0.4587016393229221,2.1800663312999595,3.9142871506948445,0.0,1.0545148562910318,False,7.495636848603475,11.367064006490473,0.0,4.0,8
UGC04499,0.0817967503333008,12.225424554462814,2.6126755053046082,885.787455112338,1.0237168824214782,False,7.876995061173531,15.39884252782683,3.0,6.0,6
UGC05005,0.05549544595012156,18.019496606960946,0.0,6745.118795534128,7.362025527428653,False,65.7418272136002,65.7418272136002,3.0,6.0,9
UGC05253,0.00671404733967987,148.94145802190317,0.0,62366.34619140459,0.7784359471761364,False,-0.2713283166460201,-0.2713283166460201,3.0,4.0,50
UGC05414,0.5,2.0,3.584494554013326,0.0,4.7812261181746525,False,19.107575162006338,24.600764674409085,2.0,6.0,4
UGC05716,0.0012499999999999996,,0.0,5586.095104212345,3.378728093995729,True,33.470243222222045,46.382073680215214,3.0,6.0,10
UGC05721,0.012276155581190449,81.45872650328756,0.0,5785.980051348667,0.014456624748991445,False,-0.42240715796572204,-0.42240715796572204,3.0,4.0,9
UGC05750,0.025544648830967184,39.147142190802924,3.048715293279896,0.0,0.5394230862831181,False,1.647934250848742,1.647934250848742,3.0,4.0,8
UGC05764,0.19370158354843892,5.162580406834569,0.0,2737.878657416427,0.2105948755206065,False,-19.73830516591292,-11.076317313875414,2.0,3.0,5
UGC05829,0.014586188039276105,68.55800825461104,0.0,2647.3622756628265,0.9203764625283501,False,6.3756968700656245,8.734018196678768,3.0,6.0,7
UGC05918,0.0012499999999999996,,1.3969748613236481,1231.955258667409,0.04794713447335495,True,2.1100627528127376,2.1100627528127376,3.0,3.0,3
UGC05986,0.0012499999999999996,,0.0,11839.445860653983,0.8187723763711472,True,4.057000787520693,10.178307563529948,3.0,6.0,11
UGC05999,0.020592100845644053,48.56231073730075,4.073358100194535,313.75003729403164,9.84909995960292,False,46.37163089496991,46.37163089496991,0.0,6.0,5
UGC06399,0.010787053076703189,92.70372481615959,0.0,6435.412136392063,0.8950224506888104,False,4.565600115740423,8.29427342808416,3.0,6.0,6
UGC06446,0.0012499999999999996,,0.0,6783.588648882958,1.303001130961785,True,14.841188615973408,21.431373515302283,3.0,6.0,12
UGC06614,0.0012499999999999996,,0.0,43522.15278803217,8.34775321549886,True,103.74305137344756,103.74305137344756,0.0,6.0,13
UGC06628,0.14324985096532217,6.980810055028115,0.0,1578.4574601712031,0.028555562293068205,False,-0.29098373933815225,-0.29098373933815225,3.0,6.0,5
UGC06667,0.0012499999999999996,,7.341563811458426,2850.4460543212995,0.3166173036039916,True,1.0751493441821225,1.0751493441821225,3.0,3.0,6
UGC06786,0.0012499999999999996,,0.0,51965.07474850921,2.949647679119144,True,100.84630466043455,110.90597646296092,2.0,6.0,38
UGC06787,0.0012499999999999996,,0.0,61690.748303072825,3.9695321927067426,True,122.91661842889613,122.91661842889613,3.0,6.0,53
UGC06818,0.10593883346573395,9.439409207044472,0.5036244154961323,3212.253045465672,5.635241331802878,False,26.125252502922677,26.369918034355486,3.0,4.0,5
UGC06917,0.009478579292193035,105.50104284337664,0.0,10014.632159909259,1.3352808361212842,False,11.531827929512936,16.339782189962918,3.0,6.0,9
UGC06923,0.0012499999999999996,,0.0,6262.801830418688,0.9043033252928838,True,2.69721323418441,2.69721323418441,3.0,3.0,3
UGC06930,0.0012499999999999996,,0.14757591960890276,8992.476319981963,0.6183909269953632,True,7.373954741228005,7.373954741228005,2.0,4.0,9
UGC06973,0.0012499999999999996,,0.0,29780.487126507218,0.37741937180640295,True,0.9140978356564915,5.772214743985408,2.0,4.0,8
UGC06983,0.0659381517771104,15.165726867508855,0.3383737169955694,11360.30868613062,3.251958469118137,False,49.00963805577271,54.23732265423426,3.0,6.0,15
UGC07089,0.015899428723218003,62.89534155020902,0.0,4454.482195498262,1.6338062986958437,False,14.138668195043877,16.818051115923893,3.0,6.0,9
UGC07125,0.0012499999999999996,,0.0,3439.5207730887773,0.8839803324441159,True,8.963606719833322,21.507327050985936,3.0,6.0,11
UGC07151,0.017330904623195545,57.700392549711914,2.034874552247265,0.0,0.48058557079460723,False,2.3442277117139767,2.3442277117139767,3.0,3.0,6
UGC07232,0.0012499999999999996,,2.142199822420464,0.0,1.5341022171583074,True,0.4130780226830737,0.4130780226830737,0.0,6.0,4
UGC07261,0.0012499999999999996,,0.0,5310.578163711971,0.24270383619013752,True,0.9185002097756652,0.9185002097756652,3.0,4.0,4
UGC07323,0.5,2.0,1.9752747419120353,0.0,2.338470962418876,False,11.370885522909134,15.304688156845849,3.0,6.0,5
UGC07399,0.11547684200792004,8.659744955022363,4.438081713628263,4493.933308989893,4.07999384984572,False,25.49983952219427,27.296230943290446,3.0,4.0,6
UGC07524,0.3697694369377724,2.70438792421962,3.96659728593364,0.0,0.43563788034321704,False,5.7359528765849745,8.813937001530135,3.0,4.0,23
UGC07559,0.0012499999999999996,,2.8197461322703714,0.0,0.8913659035949435,True,5.609116084162203,12.734015408044897,0.0,6.0,7
UGC07577,0.0012499999999999996,,0.994140880106583,0.0,0.30557393987926695,True,0.47514322951542454,0.47514322951542454,0.0,3.0,9
UGC07603,0.0012499999999999996,,0.0,4489.254955262553,1.1931812738706258,True,4.728625078174815,10.141502470731293,3.0,6.0,4
UGC07608,0.022446072872161025,44.55122308901797,0.0,3862.8175898673844,1.141411500115506,False,5.689132383385548,16.98220518028323,2.0,6.0,5
UGC07690,0.10593883346573395,9.439409207044472,0.0,3095.759774891093,0.0003739896144523216,False,-0.09211025445447163,-0.09211025445447163,2.0,4.0,4
UGC07866,0.0012499999999999996,,2.461140187782565,0.0,0.40326984333633736,True,2.2527651965177142,2.2527651965177142,0.0,4.0,7
UGC08286,0.0012499999999999996,,0.0,7178.734172539097,1.1338814615186201,True,12.41351457571082,27.485208045047578,3.0,6.0,11
UGC08490,0.0019235725615665206,519.8660138849242,0.0,5733.584858373802,0.058384064623258444,False,0.3858694135636256,0.3858694135636256,3.0,3.0,22
UGC08550,0.0012499999999999996,,0.0,3180.58239666958,1.1709528816351866,True,5.521010200469156,5.521010200469156,3.0,3.0,5
UGC08699,0.0012499999999999996,,0.09530075086520096,30065.89016716374,0.8039237375238232,True,15.677655483476514,15.677655483476514,3.0,3.0,28
UGC08837,0.17770246782622962,5.62738386378445,1.155171946438497,919.1329609855139,0.2994573039503663,False,2.8121463848871997,4.212376455661545,3.0,4.0,3
UGC09037,0.029070968788787063,34.3985784328491,0.0226713558405112,20070.35681645456,12.274686663348584,False,252.03751397278447,255.44883737534218,3.0,6.0,21
UGC09133,0.004178938525556932,239.29521668824472,0.16485052801960742,64023.51016327745,1.1340387135090413,False,21.469539667762717,21.469539667762717,3.0,6.0,59
UGC09992,0.006159489042405721,162.35112898413868,0.0,858.4045146382075,0.006728667207040617,False,-0.15754329052198557,-0.15754329052198557,2.0,4.0,3
