Galaxy,m,rc,B,chi2_pt,is_boundary,dAIC,rmin,ef,N
NGC4088,0.0012499999999999996,,0.0,54.235091643710305,True,0.0,2.0,6.0,11
NGC4100,0.0012499999999999996,,6874.868701417614,5.87424547654022,True,81.00360786489074,3.0,6.0,23
NGC4138,0.0012499999999999996,,3344.60110249877,1.1812960282436464,True,4.772124326320025,3.0,6.0,6
NGC4157,0.0012499999999999996,,0.0,21.404004335479428,True,0.0,2.0,6.0,16
NGC4183,0.0012499999999999996,,6020.401171830333,1.0610615647923298,True,17.730879366950788,3.0,6.0,20
NGC4214,0.0012499999999999996,,4898.090914971288,0.07416049212228937,True,0.5157643250503483,3.0,4.0,7
NGC4217,0.0012499999999999996,,0.0,59.73714271454666,True,0.0,3.0,6.0,16
NGC4389,0.0012499999999999996,,0.0,63.99971413777663,True,0.0,3.0,6.0,3
NGC4559,0.0012499999999999996,,3590.9746073997662,7.801606314847558,True,137.27380571113775,3.0,6.0,28
NGC5005,0.0012499999999999996,,0.0,4.406582718509006,True,0.0,3.0,6.0,12
NGC5033,0.0012499999999999996,,15542.025972990123,22.733737703166163,True,265.58672242994896,3.0,6.0,20
NGC5055,0.0012499999999999996,,0.0,77.85892332428259,True,335.38715553153816,3.0,6.0,24
NGC5371,0.0012499999999999996,,0.0,37.88992392631733,True,0.0,3.0,6.0,17
NGC5585,0.0012499999999999996,,4516.424582468753,2.1470582030001806,True,22.41735286208292,3.0,6.0,12
NGC5907,0.0012499999999999996,,14396.433111669976,10.038265746978245,True,145.80480727506355,0.0,6.0,19
NGC5985,0.0012499999999999996,,39332.763590773575,2.6674696812075114,True,12.395924343552053,0.0,6.0,33
NGC6015,0.0012499999999999996,,9591.120224941133,12.133533813619032,True,363.4746141205802,3.0,6.0,35
NGC6195,0.0012499999999999996,,0.0,37.89944032287445,True,0.0,3.0,6.0,21
NGC6503,0.0012499999999999996,,7026.886370327716,5.402295499217173,True,124.07138903537665,3.0,6.0,28
NGC6674,0.0012499999999999996,,32864.31605400775,7.069113248946843,True,75.38013479845938,3.0,6.0,14
NGC6789,0.0012499999999999996,,1041.2451241089543,4.45509397823135,True,14.99766036795571,0.0,6.0,4
NGC6946,0.0012499999999999996,,0.0,10.340979277760743,True,0.0,3.0,6.0,49
NGC7331,0.0012499999999999996,,0.0,111.8347668185153,True,0.0,3.0,6.0,35
