Galaxy,m,rc,mu,B,chi2_pt,is_boundary,dAIC,rmin,ef,N
NGC3521,0.0012499999999999996,,0.2630267991895382,29060.088034940894,0.5909330290840594,True,13.379198095114674,3.0,6.0,26
NGC3726,0.0012499999999999996,,0.39810717055349726,11743.696773840162,7.296600924163311,True,73.82732056909501,0.0,6.0,12
NGC3741,0.0012499999999999996,,1.0,2048.1367726042213,1.2341428714383795,True,10.836064582997501,3.0,3.0,9
NGC3769,0.0012499999999999996,,0.4168693834703354,9180.112935301126,2.26831430407738,True,15.660435683468307,2.0,6.0,11
NGC3877,0.3697694369377724,2.70438792421962,0.6025595860743578,10977.348737536378,0.5524516407692524,False,0.3945333930170989,3.0,4.0,10
NGC3893,0.0012499999999999996,,0.436515832240166,18816.93901409764,1.8721319219658774,True,12.71187044407182,2.0,4.0,9
NGC3917,0.0012499999999999996,,1.0471285480508996,5795.321703433435,1.4691095052255891,True,18.422174637876154,3.0,6.0,14
NGC3949,0.0012499999999999996,,0.660693448007596,300.8523019683909,2.290573919210759,True,6.8389996786881255,3.0,6.0,5
NGC3953,0.0012499999999999996,,0.8317637711026711,1032.5029974158924,0.5838077853472134,True,1.1823318140189158,0.0,4.0,8
NGC3972,0.0012499999999999996,,1.0,5043.344701436101,1.969557143814225,True,11.298858713055672,3.0,6.0,7
NGC3992,0.0012499999999999996,,0.5754399373371569,39944.88660173155,0.9517372560301184,True,2.8727169577081426,0.0,4.0,9
NGC4010,0.0012499999999999996,,1.0,3169.794420101056,5.18685842723297,True,34.34069093655559,3.0,6.0,9
NGC4013,0.0012499999999999996,,0.2754228703338167,24535.417734911734,1.4255391021290493,True,30.593157377404367,0.0,6.0,36
NGC4051,0.12587358765315565,7.944478413974323,0.6918309709189365,1516.1272803533843,0.7617720700867628,False,-0.03845421687886841,2.0,6.0,6
NGC4068,0.43934980317580585,2.276090697598082,1.318256738556407,0.0,1.7458019096620445,False,-0.5458107621756696,0.0,3.0,6
NGC4085,0.0012499999999999996,,0.7244359600749901,354.84678575559474,1.2440533436124543,True,2.007157851394144,3.0,4.0,4
NGC4088,0.0012499999999999996,,0.31622776601683794,13344.781546318492,2.2387784243157274,True,20.29917744406697,2.0,4.0,11
NGC4100,0.0012499999999999996,,0.5011872336272722,19407.464660089016,1.3186118037892849,True,16.717840865665437,3.0,6.0,23
NGC4138,0.0012499999999999996,,0.7943282347242815,8986.137401701793,0.29914308040075277,True,0.7039476252881798,3.0,6.0,6
NGC4157,0.0012499999999999996,,0.3019951720402016,21937.380885319817,1.5716389575477927,True,22.128534410088506,2.0,6.0,16
NGC4183,0.0012499999999999996,,0.7244359600749901,7281.611944067232,1.0171467583407467,True,16.418980221012177,3.0,4.0,20
NGC4214,0.0012499999999999996,,0.9549925860214359,4960.031349306273,0.06835113061402252,True,0.4750987944924745,3.0,4.0,7
NGC4217,0.0012499999999999996,,0.251188643150958,21190.604565833688,5.867288605768488,True,72.96498511597918,3.0,6.0,16
NGC4389,0.0012499999999999996,,0.4570881896148751,0.0,3.362254776442196,True,0.0,3.0,6.0,3
NGC4559,0.0012499999999999996,,0.3019951720402016,9688.261116202812,1.8684375260320703,True,43.3611423790465,3.0,6.0,28
NGC5005,0.0012499999999999996,,0.7244359600749901,0.0,0.46107521482232033,True,2.0729833604953427,3.0,6.0,12
NGC5033,0.0012499999999999996,,0.31622776601683794,34883.07594951752,1.8449411671673452,True,20.762829753590864,3.0,6.0,20
NGC5055,0.0012499999999999996,,0.251188643150958,25255.65905728898,2.1754462418706324,True,46.07779485997932,3.0,6.0,24
NGC5371,0.0012499999999999996,,0.34673685045253166,26477.94755573877,1.4386591779051772,True,-14.627179803288243,3.0,3.0,17
NGC5585,0.0012499999999999996,,0.6918309709189365,5206.01285561432,1.5623284367766175,True,15.816944688144801,3.0,6.0,12
NGC5907,0.0012499999999999996,,0.3801893963205612,35338.11846335657,0.9962351164402187,True,-31.760269646722733,0.0,4.0,19
NGC5985,0.0012499999999999996,,1.0471285480508996,37349.84106622187,2.6611810241555838,True,47.18805541810204,0.0,6.0,33
NGC6015,0.0012499999999999996,,0.251188643150958,19453.171967549377,1.5620553045164893,True,18.504646200043,3.0,6.0,35
NGC6195,0.0012499999999999996,,0.28840315031266056,36289.288525987984,1.7277414643432683,True,3.999823912782574,3.0,6.0,21
NGC6503,0.0012499999999999996,,0.251188643150958,11532.286079941334,0.8434834333502697,True,14.904235758001533,3.0,3.0,28
NGC6674,0.0012499999999999996,,0.5495408738576246,47112.547883963845,1.5468452541503712,True,14.647137874659663,3.0,6.0,14
NGC6789,0.0012499999999999996,,1.1481536214968828,999.5223934649999,4.265641532770333,True,14.239850586111643,0.0,6.0,4
